Model,MSO44B
Channel,CH1,,Channel,CH3,,Channel,MATH1
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,28749.50000000,,Zero Index,28749.50000000,,Zero Index,28749.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-2.460000,,yPosition,-2.680000,,,

Labels,,,,Labels,
TIME,CH1,CH3,,TIME,MATH1
-9.15088000e-06,-8.67187500e-03,-1.01562500e-01,,-9.15088000e-06,9.60937515e-02
-9.15056000e-06,-1.03906250e-02,-5.54687500e-02,,-9.15056000e-06,2.81249993e-02
-9.15024000e-06,-1.28125000e-02,-4.92187500e-02,,-9.15024000e-06,1.09374998e-02
-9.14992000e-06,-1.30468750e-02,-7.03125000e-02,,-9.14992000e-06,2.57812496e-02
-9.14960000e-06,-1.16406250e-02,-8.67187500e-02,,-9.14960000e-06,2.34375000e-02
-9.14928000e-06,-1.16406250e-02,-9.06250000e-02,,-9.14928000e-06,3.28124985e-02
-9.14896000e-06,-1.17187500e-02,-1.01562500e-01,,-9.14896000e-06,4.92187515e-02
-9.14864000e-06,-9.92187500e-03,-1.16406250e-01,,-9.14864000e-06,3.12500000e-02
-9.14832000e-06,-8.04687500e-03,-1.25781250e-01,,-9.14832000e-06,-7.81250012e-04
-9.14800000e-06,-8.67187500e-03,-1.36718750e-01,,-9.14800000e-06,-1.01562496e-02
-9.14768000e-06,-1.13281250e-02,-1.39062500e-01,,-9.14768000e-06,-3.90625000e-03
-9.14736000e-06,-1.25000000e-02,-1.05468750e-01,,-9.14736000e-06,-7.03124981e-03
-9.14704000e-06,-1.17968750e-02,-5.23437500e-02,,-9.14704000e-06,-2.57812496e-02
-9.14672000e-06,-1.21875000e-02,-3.59375000e-02,,-9.14672000e-06,-3.67187485e-02
-9.14640000e-06,-1.14062500e-02,-7.34375000e-02,,-9.14640000e-06,-1.71875004e-02
-9.14608000e-06,-6.32812500e-03,-1.13281250e-01,,-9.14608000e-06,1.77635684e-15
-9.14576000e-06,-1.95312500e-03,-1.10156250e-01,,-9.14576000e-06,-1.56250000e-02
-9.14544000e-06,-2.50000000e-03,-7.18750000e-02,,-9.14544000e-06,-2.96874996e-02
-9.14512000e-06,-5.23437500e-03,-2.57812500e-02,,-9.14512000e-06,-2.65625007e-02
-9.14480000e-06,-6.87500000e-03,2.34375000e-03,,-9.14480000e-06,-2.81249993e-02
-9.14448000e-06,-7.18750000e-03,3.12500000e-03,,-9.14448000e-06,-2.26562507e-02
-9.14416000e-06,-6.32812500e-03,-7.81250000e-03,,-9.14416000e-06,-8.59375019e-03
-9.14384000e-06,-3.20312500e-03,-2.81250000e-02,,-9.14384000e-06,-1.32812504e-02
-9.14352000e-06,1.40625000e-03,-4.92187500e-02,,-9.14352000e-06,-2.34375000e-02
-9.14320000e-06,4.29687500e-03,-4.45312500e-02,,-9.14320000e-06,-2.89062504e-02
-9.14288000e-06,3.28125000e-03,-1.64062500e-02,,-9.14288000e-06,-2.81249993e-02
